"P","U","V","W","vtkValidPointMask"," s ","Points:0","Points:1","Points:2"
-22.543,-0.032968,-0.030157,-0.03258,1,9.0761,17.154,3.3468,8.8636
-22.543,-0.033449,-0.030481,-0.033185,1,9.1146,17.132,3.3246,8.8413
-22.542,-0.033931,-0.0308,-0.033798,1,9.1532,17.11,3.3022,8.8191
-22.541,-0.034411,-0.031121,-0.034417,1,9.1918,17.087,3.2798,8.7971
-22.54,-0.034893,-0.031432,-0.035046,1,9.2312,17.064,3.257,8.7748
-22.539,-0.035378,-0.031755,-0.035687,1,9.2703,17.041,3.2342,8.7527
-22.538,-0.035863,-0.032066,-0.036334,1,9.3101,17.018,3.2112,8.7302
-22.537,-0.036351,-0.032382,-0.03699,1,9.3495,16.995,3.1883,8.7082
-22.536,-0.036837,-0.032687,-0.037652,1,9.3893,16.971,3.1652,8.6858
-22.535,-0.03733,-0.032995,-0.038326,1,9.429,16.948,3.1421,8.6637
-22.534,-0.037817,-0.033294,-0.039003,1,9.4687,16.924,3.119,8.6416
-22.533,-0.038306,-0.033584,-0.039688,1,9.5079,16.901,3.0961,8.6199
-22.532,-0.038799,-0.033878,-0.040384,1,9.5473,16.877,3.073,8.5981
-22.531,-0.039292,-0.034153,-0.041087,1,9.5865,16.854,3.05,8.5764
-22.53,-0.039795,-0.034441,-0.041804,1,9.6256,16.831,3.027,8.5546
-22.529,-0.040303,-0.034716,-0.042536,1,9.665,16.809,3.0038,8.5324
-22.528,-0.040816,-0.034996,-0.043279,1,9.7041,16.786,2.9808,8.5103
-22.527,-0.041337,-0.03527,-0.044041,1,9.7434,16.763,2.9578,8.488
-22.526,-0.041858,-0.03554,-0.044811,1,9.7823,16.741,2.935,8.4658
-22.525,-0.042387,-0.035812,-0.045597,1,9.821,16.719,2.9124,8.4436
-22.523,-0.042923,-0.036078,-0.046403,1,9.8598,16.697,2.8898,8.421
-22.522,-0.043474,-0.036357,-0.04723,1,9.8986,16.675,2.8672,8.3981
-22.521,-0.044029,-0.036622,-0.048082,1,9.9374,16.653,2.8447,8.3749
-22.52,-0.044609,-0.036915,-0.048964,1,9.9763,16.632,2.8221,8.3514
-22.519,-0.045188,-0.037183,-0.049866,1,10.015,16.611,2.7996,8.3277
-22.518,-0.045789,-0.037482,-0.050803,1,10.054,16.59,2.7773,8.3038
-22.517,-0.046389,-0.037757,-0.051749,1,10.093,16.57,2.7552,8.2797
-22.516,-0.047011,-0.038063,-0.052739,1,10.131,16.55,2.7334,8.2557
-22.515,-0.047645,-0.038359,-0.053757,1,10.17,16.529,2.7115,8.2308
-22.514,-0.048316,-0.038695,-0.054841,1,10.209,16.509,2.6896,8.2055
-22.512,-0.048994,-0.039019,-0.055956,1,10.248,16.489,2.6677,8.1796
-22.511,-0.049706,-0.039377,-0.057119,1,10.288,16.469,2.6461,8.1536
-22.51,-0.050412,-0.039715,-0.058313,1,10.327,16.449,2.6247,8.1273
-22.509,-0.05117,-0.040102,-0.059566,1,10.366,16.429,2.6034,8.1008
-22.507,-0.051919,-0.040465,-0.060856,1,10.406,16.409,2.5823,8.0739
-22.506,-0.052726,-0.040886,-0.062227,1,10.446,16.389,2.5613,8.0466
-22.505,-0.053535,-0.041285,-0.063623,1,10.486,16.369,2.5405,8.0189
-22.504,-0.054385,-0.041727,-0.065108,1,10.526,16.348,2.5197,7.9908
-22.502,-0.055256,-0.042169,-0.06662,1,10.567,16.328,2.4992,7.9623
-22.501,-0.056151,-0.042627,-0.068211,1,10.608,16.308,2.4789,7.9333
-22.5,-0.057087,-0.043111,-0.069857,1,10.648,16.287,2.4588,7.9041
-22.498,-0.058014,-0.043565,-0.071512,1,10.689,16.267,2.439,7.8747
-22.497,-0.058995,-0.044073,-0.073274,1,10.73,16.247,2.4193,7.8449
-22.495,-0.059961,-0.044544,-0.074997,1,10.771,16.227,2.4002,7.8153
-22.494,-0.060954,-0.045031,-0.076802,1,10.812,16.206,2.3813,7.7853
-22.492,-0.061969,-0.045521,-0.078634,1,10.853,16.186,2.3627,7.755
-22.491,-0.062977,-0.045978,-0.080451,1,10.894,16.165,2.3443,7.7245
-22.489,-0.063994,-0.046435,-0.082331,1,10.935,16.145,2.3261,7.6937
-22.488,-0.06502,-0.046878,-0.084184,1,10.977,16.124,2.3081,7.6625
-22.486,-0.066045,-0.047289,-0.086046,1,11.018,16.103,2.2903,7.6311
-22.484,-0.067025,-0.047636,-0.087871,1,11.06,16.083,2.2726,7.5994
-22.483,-0.068013,-0.047982,-0.08964,1,11.102,16.062,2.2554,7.5677
-22.481,-0.068952,-0.048254,-0.091359,1,11.143,16.042,2.2383,7.5356
-22.479,-0.069813,-0.04844,-0.092967,1,11.185,16.021,2.2217,7.5035
-22.477,-0.070682,-0.048618,-0.094493,1,11.226,16.001,2.2053,7.4713
-22.475,-0.071423,-0.04866,-0.095886,1,11.268,15.98,2.1891,7.4391
-22.474,-0.072091,-0.048616,-0.097126,1,11.309,15.96,2.1735,7.407
-22.471,-0.072729,-0.048546,-0.098207,1,11.35,15.94,2.1582,7.3747
