TimeStep,"Vel","Points:0","Points:1","Points:2"
0,0.006926,6.3902,3.7352,4.7246
0,0.0066,6.3545,3.7495,4.7266
0,0.0064312,6.3188,3.7637,4.7285
0,0.0064182,6.2836,3.7777,4.7304
0,0.0065172,6.2485,3.7917,4.7323
0,0.0067563,6.2133,3.8056,4.7339
0,0.007124,6.1778,3.8196,4.7354
0,0.0075791,6.1427,3.8335,4.737
0,0.0080707,6.108,3.8472,4.7384
0,0.0086074,6.0732,3.8611,4.7399
0,0.0091734,6.0384,3.8749,4.7414
0,0.009729,6.0036,3.8887,4.7427
0,0.010287,5.9691,3.9025,4.744
0,0.010843,5.9344,3.9163,4.7451
0,0.011385,5.8996,3.9301,4.7463
0,0.011913,5.8643,3.9441,4.7472
0,0.012419,5.8296,3.9579,4.748
0,0.012904,5.7949,3.9716,4.7487
0,0.013367,5.7596,3.9854,4.749
0,0.013803,5.7249,3.999,4.7491
0,0.014212,5.6902,4.0125,4.7492
0,0.0146,5.6561,4.0258,4.7491
0,0.014955,5.622,4.039,4.7489
0,0.015286,5.5881,4.0522,4.7485
0,0.015602,5.5541,4.0654,4.748
0,0.015901,5.52,4.0786,4.7474
0,0.016167,5.4861,4.0917,4.7465
0,0.016417,5.4523,4.1047,4.7455
0,0.016655,5.4185,4.1177,4.7444
0,0.016868,5.3844,4.1308,4.7427
0,0.01706,5.3503,4.1439,4.7408
0,0.017239,5.3162,4.1571,4.7387
0,0.017407,5.2819,4.1703,4.7365
0,0.017557,5.2477,4.1836,4.7342
0,0.017693,5.2134,4.1968,4.7317
0,0.017813,5.1789,4.2102,4.7287
0,0.017927,5.1442,4.2236,4.7255
0,0.01805,5.1094,4.237,4.7222
0,0.018173,5.0742,4.2506,4.7185
0,0.018294,5.0393,4.264,4.7143
0,0.018415,5.0043,4.2775,4.7098
0,0.018535,4.9688,4.2911,4.7047
0,0.018661,4.9334,4.3047,4.6995
0,0.018791,4.8977,4.3184,4.6936
0,0.01893,4.862,4.3321,4.6877
0,0.019074,4.8264,4.3458,4.6815
0,0.019232,4.7907,4.3596,4.675
0,0.019536,4.755,4.3734,4.6679
0,0.019867,4.7192,4.3873,4.6606
0,0.020223,4.6839,4.4009,4.653
0,0.020605,4.6485,4.4146,4.6449
0,0.021012,4.6128,4.4284,4.6362
0,0.021432,4.5771,4.4422,4.6273
0,0.022047,4.5413,4.456,4.6179
0,0.022773,4.5051,4.47,4.6077
0,0.023509,4.4691,4.4839,4.5972
0,0.024267,4.4331,4.4978,4.5861
0,0.025039,4.3973,4.5117,4.5747
0,0.026071,4.3614,4.5255,4.5629
0,0.027082,4.3255,4.5395,4.5508
0,0.028096,4.2897,4.5533,4.5383
0,0.029133,4.2539,4.5671,4.5251
0,0.030338,4.2184,4.5809,4.5116
0,0.031507,4.183,4.5946,4.4978
0,0.032694,4.1474,4.6083,4.4832
0,0.033926,4.1121,4.6219,4.4683
0,0.035161,4.0771,4.6354,4.453
0,0.036347,4.0423,4.6488,4.4375
0,0.037517,4.0076,4.6621,4.4217
0,0.03876,3.9729,4.6754,4.4052
0,0.039865,3.9387,4.6885,4.3884
0,0.040978,3.9044,4.7016,4.3707
0,0.042093,3.8706,4.7145,4.3529
0,0.043168,3.8368,4.7274,4.3343
0,0.044116,3.8033,4.7402,4.3152
0,0.045056,3.77,4.7529,4.2957
0,0.04592,3.7369,4.7655,4.2758
0,0.046688,3.704,4.7781,4.2556
0,0.047335,3.6713,4.7906,4.2349
0,0.047881,3.6391,4.8029,4.214
0,0.048366,3.6073,4.8152,4.1927
0,0.048791,3.5756,4.8273,4.1708
0,0.048964,3.5443,4.8394,4.1489
0,0.049101,3.5134,4.8513,4.1264
0,0.04915,3.4825,4.8632,4.1031
0,0.049079,3.4519,4.875,4.0797
0,0.04882,3.4218,4.8866,4.056
0,0.048436,3.3918,4.8981,4.0316
0,0.047954,3.3622,4.9096,4.007
0,0.047342,3.3328,4.9209,3.9824
0,0.046551,3.3033,4.9322,3.9567
0,0.045603,3.274,4.9435,3.9311
0,0.044547,3.2454,4.9545,3.9051
0,0.043381,3.2171,4.9654,3.8788
0,0.042133,3.1895,4.976,3.8521
0,0.04069,3.1622,4.9865,3.8255
0,0.039155,3.1351,4.9969,3.7984
0,0.037492,3.1082,5.0073,3.7709
0,0.035782,3.082,5.0173,3.743
0,0.033961,3.056,5.0273,3.7151
